date,heart_rate_mean,heart_rate_min,heart_rate_max,resting_heart_rate_mean,hrv_mean,hrv_median,steps_total,active_energy_total,exercise_minutes_total,sleep_hours
2025-05-15,76.00018633389409,52.66102161976495,129.74113499748228,56.9584788901021,52.6742243999698,53.325846629946554,9614.0,590.2578887934616,33.82830247852659,6.33490558079369
2025-05-16,78.93235425859298,56.124377298175666,123.53309923371904,57.945817574400344,55.502535166558836,56.12182913359203,11001.0,669.2351739023472,34.50715350023916,6.846316143413314
2025-05-17,74.74556657759072,51.958520545102076,114.30428927862937,58.379861168164496,55.687679952825484,53.84180008658586,12487.0,665.5960062940005,48.0969132625965,6.8218294346382
2025-05-18,82.71095699372043,64.88966781932672,122.02939673446448,55.531830109311805,58.60750811899596,58.86102499979553,13832.0,626.0393060559444,44.71838683612821,7.131010100065624
2025-05-19,76.64878740747461,60.24449949827415,128.61024255848378,55.12048100192227,63.317452434935255,64.95330399551202,10122.0,381.3466224532485,19.5453449185051,7.779345705640223
2025-05-20,74.58858350934555,51.649195193484886,113.1099464462437,55.066069694851514,64.78383109465298,66.02714782903841,7609.0,442.3937136659558,18.833715661574303,7.3435546204385895
2025-05-21,80.24298804367429,61.79658621376575,138.61399875894043,62.26888181935664,59.20167842120152,59.049221161979226,9984.0,472.50959135024476,30.091028471815726,7.033644690464491
2025-05-22,75.4097577976439,54.4584267482557,117.13928865981852,60.808393361074046,61.40651564689599,60.65775354557712,10467.0,563.7436604504027,35.92153357852289,7.369117483654693
2025-05-23,82.06186864464411,59.98213357503827,134.61946068933443,58.08785003964577,55.52050487197642,54.51355369704121,12155.0,639.4633955128419,46.13449342169491,7.7211469244385675
2025-05-24,77.82739869805062,60.80105262996165,126.49991137030851,57.5595616293141,58.65096013259278,59.39947178524823,12556.0,,,7.050167992964423
2025-05-25,77.98919849039207,55.742491654239686,126.61763499995773,55.46762093577066,,63.32900497479697,12940.0,599.7122381739129,48.96095409539475,7.05890870346322
2025-05-26,75.67318602704367,52.165094355355144,115.39631744368478,53.72349636933133,64.12058607367574,65.12763248343926,10487.0,524.4132624566867,39.99183031992204,7.640837483136867
2025-05-27,75.65626901753987,53.82926929156859,132.92232302263304,,61.189458847832626,61.400456948826466,10528.0,609.8338829751483,30.52536708764673,7.433992870522612
2025-05-28,79.06502553226107,59.53524354441661,138.49828516633914,55.27392359436362,64.4920821636838,65.8021044842397,9321.0,511.00735438974664,38.93159768329805,7.692437911043471
2025-05-29,79.1282938762289,56.114868766215274,117.39269389345037,57.37559830229502,62.37500648392782,62.526354536660136,11443.0,575.9980162277944,42.79152131968242,7.437882350348494
2025-05-30,78.9262420810052,58.70658104042472,121.21274229773603,54.049597998957054,65.6713995233014,66.9269014691121,14587.0,741.8191468786522,42.54102207147852,7.68501885795675
2025-05-31,79.19191279276514,57.233745370231105,138.88561332385663,56.67163578499138,60.49624549192721,61.889561924513835,13278.0,848.5411282506046,51.625699924837136,7.013264789847174
2025-06-01,79.58576139754328,57.021713846674444,130.77360810474468,58.372348855181464,58.63225182882505,57.34500922046534,12776.0,565.4262584899905,,7.439558385784739
2025-06-02,77.47205851925467,55.47723562566263,119.07300839721171,58.38449410829561,60.954914003635224,58.06188352864203,10885.0,573.1344007424382,39.86006764694357,7.340206980415787
2025-06-03,83.66289160978147,65.36005260139623,126.52986247240128,60.76590114652598,46.96061887942078,49.43020744904406,9886.0,517.5230739928161,28.3681509543046,7.034972388301992
2025-06-04,72.34121866346938,55.39846745622273,126.18088852516011,55.37994197318869,59.561154765896056,59.97180873503567,9498.0,591.5122279836692,28.891500126632526,6.884014492036731
2025-06-05,82.21401926385343,64.30731102895695,137.6096229977784,62.07267530779547,44.59385265927731,41.85067522648352,10448.0,527.4034113316069,33.056723611068655,
2025-06-06,83.21089043587644,63.18789094003361,135.59713384179489,58.34474855466288,50.81035047266452,49.66823927711458,12145.0,697.6679043907664,51.549634681290904,7.110197000460745
2025-06-07,77.23898989123887,57.19677451289411,138.1145510091395,59.38289252097672,58.58056465964785,59.81556352743957,12861.0,713.1206731615108,44.41249567100913,6.882806640467541
