date,recovery_score,component_count,weight_coverage,sleep_z,hrv_z,resting_hr_z,previous_exercise_load_z,previous_active_energy_load_z,sleep_component_score,hrv_component_score,resting_hr_component_score,previous_exercise_load_component_score,previous_active_energy_load_component_score
2025-05-15,41.83963428425675,3,0.8,-1.2251569376217915,-0.24057291684208956,-0.7209778924453553,,,22.703019883448356,44.01451692170909,67.28223192929086,,
2025-05-16,51.01913379727574,5,1.0,-0.2946843644076133,0.17991121523715456,-0.4299421034077933,-0.05011252154547303,0.09988002656142428,42.68574458371432,54.48568749178742,60.585984317539825,50.0,47.50507311117257
2025-05-17,48.49191729591224,5,1.0,-0.33923606628646685,0.20743663630544004,-0.30199996785009153,0.0005096175126991931,0.8642639115039935,41.59950576238551,55.16739976642445,57.49313526336203,49.987259562458256,29.644926283510156
2025-05-18,57.180513631031964,5,1.0,0.2232946094092166,0.6415266333369153,-1.1415082131953103,1.0139023744709135,0.8290421250043679,55.5592853537539,65.50984765805168,75.79564411340175,26.62168445882986,30.38476458926953
2025-05-19,70.53749731764691,5,1.0,1.4028918710208416,1.34175267328434,-1.2627607417783457,0.7619645720633614,0.44619148431968186,80.26423838271727,79.27780201665462,77.9500987991991,31.82198884010606,39.026665539849134
2025-05-20,69.8727147643233,5,1.0,0.6100031783151368,1.5597587585118642,-1.2787994506203462,-1.1151972612595604,-1.9220735662120183,64.794152709696,82.63187336727621,78.22453470615821,50.0,50.0
2025-05-21,51.601631127738614,5,1.0,0.04614566131249504,0.7298617578860029,0.8443586341199544,-1.168263683861878,-1.331227569400683,51.15343686058504,67.47749355689027,30.061760012480107,50.0,50.0
2025-05-22,59.98132887999376,5,1.0,0.656512861246933,1.0576542615153817,0.41385346138012835,-0.3288022464116635,-1.0397501964948617,65.84766166180576,74.22420164939959,39.79884943316079,50.0,50.0
2025-05-23,61.577170428755956,5,1.0,1.2970036206389064,0.18258276607078003,-0.3880754863603376,0.10598039492032653,-0.15673868145290723,78.5330265404838,54.551930731586786,59.58193260988259,47.35296725158255,50.0
2025-05-24,54.47777557178743,5,1.0,0.07620855191130192,0.6479866314531723,-0.5437979722564066,0.8675640956744535,0.5761169133431393,51.90429225025417,65.65566113546686,63.26954797401768,29.576141569077926,35.982658043597894
2025-05-25,61.83716809949448,2,0.5,0.09211160903213236,,-1.1604350189431054,,,52.30116342810388,,76.14117510658036,,
2025-05-26,71.04629079394107,5,1.0,1.1508867079990597,1.461154315783729,-1.6745470227022288,1.0783341773125847,0.1913842141144685,75.96728405155339,81.17091608902207,84.21811161560476,25.38213875639096,45.22994553008368
